,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
유흥주점,-0.05846029051291566,-0.016272756189572316,-0.058142918644776054,-0.012001657571179125,-0.03806126321162945,0.0962739529924395,-0.08521766606389612,-0.13078756739528666,0.03985726709678947,0.03600253755148186,-0.054563131608235386,-0.03005475230564748,0.056646570631677655,0.09519782743229385,-0.04296345860579236,-0.045561299905317154,-0.00790747294137599,0.052172606944083766,-0.037713317990205365,0.08851829541235634,0.029278506994965505,0.0910484032088853,-0.022200308953100437,0.14708361276289172,0.017321675757535755,-0.021635005992726657,-0.1525980490351842,-0.046433300709503564,-0.05232247854555669,-0.03249398839655809,-0.06332790107541415,0.10385741165775901,0.012659577394632594,0.0016061059500480348,0.04980190350368824,-0.03145088876317029,-0.005911873957833832,0.03524824600664973,0.01413285192944127,0.10503414434798941,-0.033898342627016985,-0.031139196415455157,-0.07493620277800604,-0.03382340264324311,-0.017112833657084544,-0.05116527580092202,-0.034202632358402,-0.018776027255731433,0.01255286710283813,-0.1152726736514247,0.07924402307658274,-0.06877581854768783,-0.017561428886555274,0.08582578711615856,0.019562447309894832,-0.05082186775993479,-0.10572080625786184,-0.010005452084080126,0.02190116424745176,0.0024200383641165765,-0.038612107459339025,-0.04836085549534831,0.0052207347479660765,-0.02948625936142825,-0.1734741184176524,0.024417731791334277,0.08862578064189405,-0.03415785391893341,-0.011743629284686401,-0.027996605813335722,0.0463719076456358,0.008630305419827268,-0.039053106713803236,-0.024155409863720282,0.035009849012995115,0.020019608176372664,0.10067835833883468,0.033304264463552564,0.05643677881099852,-0.03529078991891799,0.05483687605925734,-0.09357187842036047,0.10069965413681504,-0.1348938861082346,-0.0016756936082356377,-0.06788417559418952,0.05553898586780682,-0.032767882033756156,0.10804110621614843,-0.014902417329166154,-0.008985606673356218,0.051370530964888396,-0.07790065107907103,0.02316634351975204,-0.034484724663309006,-0.08785036608401602,0.0866084428479097,0.10456991192514978,-0.07820725014862456,-0.00148243502882961
커피점/카페,-0.031794190087004105,0.007126283656240564,-0.03696290417561001,-0.004709882784696113,-0.05846857211554574,0.05160344997218725,-0.07834894458056124,-0.1015447333312937,0.0628133062259429,0.030583583775740813,-0.06624807189711414,-0.04477659672982354,0.0726813987593782,0.10073720543031806,-0.027704907976987925,-0.027711269885026518,0.007755690892833524,0.056697522425064005,-0.012865355940133225,0.08518566852716819,0.032048677118322634,0.07518656537711939,-0.020791819641283064,0.13953242263710078,-0.0028686230415666553,0.0022077065377564343,-0.14763041884999237,-0.04454859325987483,-0.015707758374549845,-0.015375807300994991,-0.057359603311548206,0.10275179312800595,-0.015625278233552663,0.01702544681762129,0.028005852744742717,-0.016379004006639417,-0.002477057473596774,0.05418257889373772,0.02117887834930603,0.10834097560556931,-0.020488086652185745,-0.007035904139443591,-0.045647202693683955,-0.03840627427380643,0.014771984715349034,-0.050687286963342126,-0.03923353682538494,-0.011399405792570797,0.02238023261579565,-0.10235116391559614,0.04842599919277631,-0.05229879123402062,-0.003742160511573178,0.06305610303947955,0.03626695741980135,-0.023704023168380103,-0.08452748265057713,-0.026825083589954907,0.019319873130817792,-0.0013977090797067558,-0.02883034502905492,-0.061679665099968105,0.014604799468571978,-0.020001201257075486,-0.1464674828337092,0.040862311050819076,0.05000475477705012,-0.030878158169991777,-0.04126102363598323,-0.005648709219831657,0.025697337363786918,0.024826547333588387,-0.019794240488053453,-0.010287734211924228,0.02404647347178678,0.020939367222256255,0.11641044445381858,0.04240854160931515,0.02797560787746487,-0.027631017394139406,0.046929424800802574,-0.08549672039647536,0.11088325342727735,-0.1213465199317946,-0.014011862535786658,-0.02577388486433291,0.061227933835008394,-0.028054422181842474,0.11230902888147312,-0.0025456266165524953,-0.021534179815756366,0.04273085435273139,-0.05920636913998856,0.020686156886014204,-0.047153539828377805,-0.08131045735886189,0.07012657761610766,0.0830338239879986,-0.07177172186684445,-0.00019362406116564437
패스트푸드,-0.013278396495628291,-0.0069827094459947526,-0.035002034472209946,0.0072298475482811,-0.0501606660159941,0.0745723536582857,-0.052629232938450676,-0.10459360065147155,0.05961993957218214,0.042852186321615665,-0.03413423619775419,-0.03703575372577111,0.05632088305066683,0.07628388555183559,-0.03126936670011738,-0.0410044893356131,-0.012454852448284376,0.03459508696686549,-0.00318561306936372,0.06319945333291703,0.039949215556118,0.07402290810683101,-0.04428053203598616,0.15566107043681426,-0.008135294488356579,-0.00651546934176387,-0.15319209296876737,-0.03637148301101841,-0.005591530289726248,-0.05317393640866161,-0.06350131993860895,0.09273561838458136,0.003684887052335789,0.008978025578714275,0.027404659277887967,-0.02219376112425175,-0.01267596570676309,0.029166605609188174,0.0014547464526765582,0.09976173877703122,-0.040487043554878276,-0.011320054455114406,-0.07341934607610989,-0.03369186480425698,-0.0035122130238759413,-0.029618939644354744,-0.034061130684854383,-0.030671585065302057,0.019214962088635747,-0.10409119307224389,0.048190476868780974,-0.06687138410693388,-0.002024220205875065,0.03990858736379242,0.02694915331886331,-0.02746750352685478,-0.09557931508363056,-0.03173609736293445,0.003804964096239232,0.0002639103570998206,-0.033515155059961325,-0.04748285741266402,0.005178911892709756,-0.026555578332587346,-0.14855793252924038,0.04915882536071079,0.057216495367721276,-0.022670127594616833,-0.03807065854321999,0.005000064212809082,0.028233636657287838,0.038440331221598116,-0.02161222417103232,-0.012446039710411529,0.03008587040807031,0.021511926837604303,0.10730520467998463,0.026088812864868718,0.04786728047530455,-0.021996211584859347,0.050265919978912055,-0.06445770510699565,0.09936296069491327,-0.12799901059111266,-0.026408768329814866,-0.05551810874024972,0.05155925823297721,-0.034383830817300655,0.08774306342235426,0.013718135991815842,-0.025646898101229113,0.06369240779462831,-0.05142229120112019,-0.0034600068210426157,-0.04766926812321305,-0.07246366135546217,0.07549660329111596,0.06858685626663993,-0.07139468702859662,-0.01849243183566082
대중목욕탕/휴게,-0.060074542862325685,0.08331165645588044,-0.021824041823134365,-0.035819293723970615,0.022290993282365727,0.03291894914938637,0.035427179006434294,0.002453176093257905,0.08157421718947344,0.0971675938331811,-0.0399849332289441,-0.06513982363992583,0.032350144252947036,-0.036097534903252605,0.09429558890261891,0.022492702448812116,0.05476431653062023,0.009017009588710247,0.020478194400420462,0.01879640618034584,0.0020646134162396507,0.009322303092165418,0.013124935191743849,-0.10982160653522934,0.07427820576930623,-0.05783296401854552,-0.01825101328583111,-0.009803937471017115,-0.016696632119956853,0.06348334571073878,0.11758044197662118,-0.029352945932091618,0.05288575157618556,-0.005152281819339373,-0.008540203666901785,0.15518334911002554,-0.010440796761616356,0.07860464784158246,0.04179499597046053,-0.08252558178300529,0.0360087795574949,-0.01981123035119126,0.050389744442904505,0.07238929649985726,0.1143585977913079,0.006211045360710422,-0.08801594001157702,0.017992193232822425,-0.037638157273221576,0.10624483603604963,0.08312200746229788,-0.01087263381792136,-0.014714782796790424,-0.036007490403864216,-0.01109057194171204,0.13581289285776574,0.010883777975099523,0.02168848068023249,0.0116319206641454,0.006653387693885775,0.007680184327984192,-0.008328056885224094,-0.024688076218766973,-0.012890706545603262,0.05116703938187433,0.06566727034647428,0.01658527295999592,0.04389607995268791,-0.07885851026303302,0.11496509135070287,-0.08647011523519726,0.05335389233371489,-0.02351008038677028,0.055062871734496324,0.0461030599056439,-0.13120073827440404,-0.13212354959877076,-0.06876205765086892,-0.007695704039103433,0.0010662626463134755,-0.014532905303701193,0.00419793982933788,-0.07126365842898891,0.2575432226819743,0.15760908142005492,0.049068570311956265,-0.028056130480311286,-0.008101937635300082,-0.2271430376092456,0.021018127256268206,0.013378431554705703,-0.04325876458355568,-0.13177869471372983,0.17440436716691762,-0.053598070768123285,0.06537965585370971,-0.09692757158056144,0.05419313260604425,-0.0005547062858527949,0.03875688680837893
일식/수산물,-0.0477578675402725,0.017963102932601317,-0.026938632881004124,-0.030580360254005137,-0.05024637665587473,0.06607964631187518,-0.08281582025423773,-0.11195606458332,0.03749776077368781,0.021728633828101456,-0.08419473153040898,-0.04645698764077698,0.06135579309484135,0.0995040039632089,-0.05134071109076695,-0.0447116940948841,-0.0044777636834034224,0.04663938376311731,-0.010685563317351994,0.0835806723662942,0.021705754835170416,0.06644811813226782,-0.022262594452050106,0.15531598354017478,0.008484910249324977,-0.013917949127556421,-0.15510541472313866,-0.038415834692601986,-0.02417382194041029,-0.002909410950343902,-0.07707750633418158,0.1122754862737944,-0.023106508713459185,0.013609940058114067,0.03743542554797213,-0.032028778580428977,-0.020055656553795684,0.05738519235950707,0.02074224866330945,0.1263411137197717,-0.028621527567028255,-0.014599644028582374,-0.04990149987548962,-0.029346703677243388,0.028060195635269125,-0.05215283439446958,-0.03680651796599939,-0.014621352861799828,0.02057328130056832,-0.0838936198449706,0.07096637732034447,-0.03633535774707258,0.0029518848704154555,0.07123911103795,0.04179828629007232,-0.02253793269013663,-0.10001232231739672,-0.0055929326773324455,0.04361347752181126,-0.0009854961381521449,-0.03156160785697926,-0.061297388006350616,-4.425863166446957e-05,-0.01660565045393739,-0.15756224130597235,0.05033641778113374,0.04366060918809964,-0.030931065982269645,-0.0288920661890226,-0.03283495446160457,0.034292194152322195,0.018977093166207187,-0.013383701839140843,-0.02003897906198887,0.006990844108526003,0.022684989426283792,0.12299107121239408,0.04720061798394978,0.0540715240226982,-0.04231549311818331,0.0541129259244669,-0.08731872186571372,0.11474101468598746,-0.12792460918428816,0.001404039092474221,-0.03302702157228481,0.061580125592050804,-0.02276667595153094,0.12958865972330358,-0.020452536049898443,-0.013674719013508049,0.04319420544743249,-0.06253522329742167,0.01995489266957021,-0.03938843593138543,-0.09001673676054812,0.07058455009627208,0.09618108214533456,-0.08107498653079158,0.012096242553785755
분식,-0.02189144511385896,-0.005265225819672803,-0.04045973989050089,0.0076855271969376165,-0.06099852871571642,0.08656620772899663,-0.08283768032880869,-0.12201321378441866,0.08487185558708321,0.03790025522946779,-0.05847548140186376,-0.056000798495272314,0.07004703348556267,0.09230613884653521,-0.04265444826950934,-0.04113897733102871,-0.017499846449971594,0.04567204954735588,-0.00893241224829978,0.08466281962271167,0.04233878125186177,0.056741597597482214,-0.040120243325532975,0.1619509596122935,-0.013461407510702583,6.643659306340179e-06,-0.1849076268282244,-0.03426206824059494,-0.0010346956525594778,-0.03947340725003116,-0.07404087144405455,0.1315485085660744,-0.012281188015240627,0.012764537874743364,0.031858916926313804,-0.029400211068533282,-0.018966176231324603,0.04924046363261529,0.013708499319441701,0.13755315316929181,-0.04065758051528294,0.0005922317257448543,-0.06411433672075093,-0.025788801572746434,0.027077647202789053,-0.02625921954517381,-0.04159870184797016,-0.02020740617999797,0.01564877016332002,-0.10996392214437324,0.056863407609754404,-0.04551238258322094,0.0008974397680329287,0.04415308213370532,0.023843956701634254,-0.025410201548684862,-0.10779431037118804,-0.026972385148751547,0.03376979702555305,0.004496028924925896,-0.05027749436105123,-0.06837861571230644,0.0038741643730001774,-0.031900597576086764,-0.16970101485338993,0.06365541332022262,0.052826886717965475,-0.03825728552402574,-0.04979600652435446,-0.01763956194758311,0.029641620740335543,0.0316219310372099,-0.02181129584757002,-0.01706790642998877,0.03933020905336453,0.004124632343281497,0.1474552670183161,0.04375619463022173,0.029804541907460756,-0.03917101075476469,0.05795601901172583,-0.08726503058498672,0.12114349632284771,-0.15250354388438264,0.005836750899006196,-0.04761150931607768,0.0544182477078889,-0.02028967920943619,0.1141556457944939,-0.003526215370737549,-0.029716600229946516,0.05281479491991448,-0.06379484437997839,0.032867284951742036,-0.05999181123639654,-0.07019668468261081,0.09762827316897033,0.09602208958085225,-0.085508250035026,-0.0023550807162668113
한식,-0.030972888798186493,0.0008789229829407736,-0.03909222490757563,-0.007063152491860103,-0.04934322376405941,0.07274830403331294,-0.0748466359851296,-0.11719612715656161,0.04912987718423371,0.028074352420961294,-0.05814525830218551,-0.040671322714275995,0.06151890605507613,0.08478262145890343,-0.03518872239940277,-0.03922494741131185,-0.009464467530686464,0.04488458079268387,-0.016328502224462943,0.07799391243492813,0.030730829187358914,0.06442384397357226,-0.025529013862306413,0.14454525745687158,0.00013376519287325214,-0.007463727661211622,-0.15492481790472962,-0.039275181934265053,-0.017236178103014324,-0.026098765307769087,-0.0679588325148488,0.10562032726420698,-0.011994415885834104,0.009260226561556431,0.03580422354664936,-0.025470880382549875,-0.012352015825806485,0.04279913501674603,0.014503571765452038,0.1099982939925081,-0.030134764005995948,-0.01453896649261334,-0.05570003236855413,-0.027934685126586176,0.014096438164135035,-0.03847064563740137,-0.03558721639471646,-0.014747022061594374,0.01618574734317601,-0.09543904100937285,0.061293955583880004,-0.05112820470835915,-0.0047719122943565215,0.05282868229211659,0.025842406813592317,-0.02877452877376232,-0.10001442252111031,-0.013965313017081574,0.028417990171883546,-0.00037293689711669054,-0.035447387615989125,-0.05875244234217524,0.0022259733698804236,-0.019881052076852458,-0.1575681233149215,0.04698017651713643,0.05420824080499383,-0.03523099547896076,-0.03093504297389865,-0.02455402065870988,0.031684808828468226,0.020113930508452886,-0.020407141438228638,-0.013906608274710111,0.02530600311245451,0.013787995975913464,0.11575871550164789,0.03826130827916765,0.040927700606616615,-0.037818023555122676,0.04690165200925732,-0.08411687353188882,0.10795441605706899,-0.129826272353412,0.00019529311339852638,-0.04065738473056359,0.05042058849471688,-0.015911222309747685,0.10230733297638503,-0.009777347070223888,-0.016443923973051472,0.04339621833458712,-0.06253650139560901,0.023553832703080337,-0.04586687964593965,-0.07399863346229495,0.07862810582927932,0.08970872382398268,-0.07478974667481933,0.0030997875699089006
음/식료품소매,0.04241872240149844,-0.06008276984437318,0.061572670748443054,-0.02025290337327481,0.012003186849241738,-0.07758000894410538,-0.007596007742112967,0.039354895977093005,-0.03696532733773566,-0.16327480737043656,-9.568717548229222e-05,0.05600346080580372,-0.09448371008607889,-0.03099242085380635,-0.0034031358670031453,0.03017927134779718,-0.02906161850812361,-0.011178907701400636,0.01159596090352755,-0.02239478177542012,-0.031250666710365804,-0.1266589457762878,0.05384543921899487,-0.06191070638330776,-0.020929747515370682,0.06286725826082626,0.12000132822051432,0.08370724388664762,0.05003797619045568,0.08054405535850646,-0.06548340365190311,-0.007274903747317383,-0.06691816506829586,0.03563961193144587,-0.0349194415719572,-0.12167925526948774,-0.02068071759269883,-0.0270389710050735,-0.019192641807178237,0.06293095164426805,0.011950747562732825,0.0891806243284492,0.058398972568113265,-0.03313190334478624,-0.03147321907259866,0.06475821074338906,0.0713104109374959,0.0008098938354748483,0.008093999188678808,0.05395762762184867,-0.12631903296609265,0.09886186731930417,-0.01698974989501346,0.009592768961661549,0.0029334511810796358,-0.05247434706130978,0.05630670861318648,0.05769445303941212,0.033667531406729456,-0.029308869398717022,-0.01659679719534128,0.02383064685783915,0.0023296209896644547,0.059935217023179985,0.07178598137437811,-0.012537645205767006,-0.00965289798005141,-0.005036422127023144,0.010766698658348117,-0.058097889923994825,0.022220885913004557,-0.11780570228069055,0.06443136822403361,-0.03105492106416814,-0.09151499963350163,-0.019829663605887147,0.04731253710402528,0.023461129795649967,-0.09260901367438822,0.02299286560327713,-0.08718471560484493,0.002635534244610456,0.025208400831834166,-0.06308629775844792,-0.04320008241883735,0.0823153257899288,-0.03155566429802432,0.062356518404734454,0.07850858826721863,-0.030427742393483344,-0.025179782760046843,-0.035675516908932996,0.07902377560168299,-0.07314176417846191,0.0908188584253854,0.00031870537292408725,-0.030610969516585915,-0.07018479661898759,0.015570135384274745,-0.0006346252232880896
건강/미용식품,0.06087685826952281,-0.06374865250966637,0.058652955206086606,-0.012792915367561929,0.020596679788068208,-0.07397335853765571,0.021874812554510088,0.0515378547194073,-0.044776430368210426,-0.15387529728672464,0.015126753581046131,0.057805113567797904,-0.11072085991134059,-0.056737921204168394,-0.011644716755622697,0.03633623746663157,-0.02778085888541696,-0.01842980248435359,0.0018466913155766145,-0.04284679134751895,-0.02934529256001927,-0.13113173460359717,0.05967064134209581,-0.06282261684283216,-0.02951090875495876,0.05810387035367153,0.1137045667833006,0.0846854994137626,0.06554240221633813,0.0617146072982353,-0.05085277174552096,-0.034411193102118855,-0.05746608551476024,0.013555464556857728,-0.03754379383161714,-0.10230282769201637,-0.016407635324000025,-0.050714853582942226,-0.026460273629700798,0.06560470967647536,0.012977425486350785,0.10098067869561808,0.06562723975833154,-0.03658991036584147,-0.0401674639156417,0.0699613310758679,0.07458605003302553,-1.0185605630745381e-06,0.013479232455969388,0.06409743299938347,-0.1213757187661023,0.10097994590942921,-0.007326046000951392,-0.018729846290919352,0.005271879428193106,-0.048138980699311565,0.03551212186289481,0.032291426784787386,0.03878657937834129,-0.031913516471925356,-0.027136292401350497,0.020200394588051084,0.00640438319705085,0.06877718487346372,0.08479576601651392,-0.016510915075399462,-0.011355134969290625,-0.008755797051691066,0.007037337545574674,-0.05911418896276455,0.018472392543072733,-0.1075031306669543,0.06247442749789679,-0.026776373478263255,-0.06934752096894288,-0.013886230436490477,0.048704523382825216,0.01697031404962234,-0.08863996058597963,0.026823802971562716,-0.08713469042723099,0.013000626993478035,0.019900963494191473,-0.05501920606109177,-0.04476467242456698,0.06533626512482581,-0.037933182324455555,0.06577860766533897,0.06493903597880164,-0.01765872669226012,-0.01931606378055812,-0.03558016939849474,0.07640850122590985,-0.07671471635856338,0.09313114113778943,0.014932239688383116,-0.042346000926972056,-0.07925723087484814,0.023150629694125503,-0.0014328817401564355
선물/팬시/기념품,0.05389400958716878,-0.058360052577753674,0.07116747636821287,-0.018773525258350396,0.03618210831423219,-0.0752380901719999,0.0013884879875504044,0.052422038475755287,-0.03898072204267391,-0.15893490825307852,-0.005203126340402695,0.05788203007733047,-0.10513049983205308,-0.05043541129675559,-0.02993564103839377,0.03920599886712094,-0.04884417189871183,-0.0061295773289088955,0.01217172447497913,-0.008734227341863764,-0.03837970785446961,-0.12731293842739774,0.0520080807646976,-0.048821504187224245,-0.046509069743636694,0.06941340117068642,0.11646090974837311,0.08288737425637087,0.077632909686895,0.062035875536069866,-0.05523401177720448,-0.03360827744599883,-0.06960519245045448,0.022967001579646415,-0.01806701049418692,-0.1155595658505501,-0.014541273707892481,-0.044502092656233706,-0.03542902871272595,0.07697639172592044,0.029903994273289963,0.11742331880207701,0.07599678391589262,-0.04555845181944746,-0.05288724796921018,0.07664842937538469,0.05693626793234613,-0.004886750111080943,-0.003837839926552429,0.07198306287884451,-0.12193609716689105,0.08361391960261497,-0.00026910929660577555,-0.042209677581760204,-0.014204007231091841,-0.06591083493314773,0.05231716044807546,0.021519477939365646,0.016576941364988516,-0.020915899364716127,-0.050560635684023664,0.0008798722979615676,0.0037653061662074536,0.07924108966597898,0.0875215185086309,-0.01670168510762465,-0.0075353195015805795,-0.017200556191649074,0.0007883421783455595,-0.07653109144975123,0.03128078421248258,-0.10129494107796123,0.06545254240513915,-0.035735401321003446,-0.07939781019959356,-0.01846772413022818,0.059949638155297115,0.008968485377999024,-0.10115802807296718,0.035634464662188954,-0.07726367542572195,-0.002257297675039709,0.04256978745719837,-0.07798928992127462,-0.05984720616795877,0.05924309235475613,-0.03556711647107667,0.08068191710754391,0.06893677457567259,-0.030326685488510887,-0.0504680931804071,-0.03047656121070593,0.0669832744168752,-0.06415276596007072,0.07832128004614662,0.021424463484602276,-0.039498820734769596,-0.062175736876942465,0.026806715521106562,-0.009995238853504028
